Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park,Organic,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present,Not applicable,No seating,Not applicable,No signage,Crowded (>50 people),Cultural activities present;Social activities present,Not applicable,Clear sight lines,Not applicable,No barriers,Not applicable,Not applicable,Central gathering point present,Varied age groups present;Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Moderate,Daytime,Not applicable,No commercial activities,Not applicable,Public art installations present,Not applicable,Inviting,
0A1mOmg3oYqmqJkydBgr8,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present,Historic buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Commercial activities present;Transportation activities present;Social activities present,Wide entrances present,Clear sight lines,No accessibility features,No barriers,Bright colours present;Red flowers present,Traditional buildings present;Contemporary buildings present,Edge gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Traffic noise present,Daytime;Weekday,Trash bins present,Shops present;Cafés present,Public transport access present;Bicycle lanes present;Pedestrian paths present,Not applicable,Not applicable,Inviting,
0AHwqvu5S4S3RjFBHysY1,Park,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Little greenery,Paved paths present;Wide paths present;Linear paths present;Intersecting paths present,No seating,Not applicable,No signage,Empty,Transportation activities present,Wide entrances present,Clear sight lines,No accessibility features,No barriers,Bright colours present;Sculptures present,Contemporary buildings present,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Quiet,Daytime,No public amenities,No commercial activities,Public transport access present;Pedestrian paths present;Parking spaces present,Public art installations present,Not applicable,Accessible,
0AwVBMzM8nLeDeTenNNKP,Park;Playground,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present,Benches present,Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines,No safety features,No barriers,Bright colours present,Not applicable,Central gathering point present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime;Weekend,Play areas present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0Ax3wD4SdmOSNBLel3aHB,Street;Public plaza,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Little greenery;Bushes present,Paved paths present;Wide paths present,No seating,Historic buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Moderately populated (20–50 people),Transportation activities present;Social activities present,Wide entrances present,Clear sight lines,No barriers,Bright colours present;Contemporary buildings present;Street art present,Contemporary buildings present;Historic buildings present,No gathering points,Varied age groups present;Gender diversity present,No design features,Cloudy,Not applicable,Moderate;Traffic noise present,Daytime;Weekday,No public amenities,Shops present;Cafés present,Pedestrian paths present,Culturally significant features present;Public art installations present,Not applicable,Inviting,,
0B6TXLerVX3I4MCiM7Fum,Public plaza;Square,Open,Large (>2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Little greenery,Paved paths present,Custom seats present,Commercial buildings present;Mixed-use buildings present,No signage,Crowded (>50 people),Cultural activities present;Social activities present;Performance activities present,Wide entrances present,Clear sight lines,No accessibility features,No barriers,Bright colours present,Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate,Daytime,No public amenities,Shops present;Cafés present,Pedestrian paths present,Public art installations present,Not applicable,Inviting,
0BOEQ5iCbtgfYZqdSCGco,Park;Courtyard;Garden,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Bushes present;Grass present,Paved paths present;Curved paths present;Intersecting paths present,Custom seats present,Modern buildings present;Residential buildings present,No signage,Moderately populated (20–50 people),Leisure activities present;Social activities present,Wide entrances present,Clear sight lines,No barriers,Bright colours present;Natural barriers present (rivers; hills),Contemporary buildings present,Edge gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Moderate;Natural sounds present,Daytime,Seating areas present,No commercial activities,Pedestrian paths present,Public art installations present,Green building features present,Inviting,,
0BdnYirX0ab36Z2PNW4gx,Park,Open,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present;Custom seats present,Modern buildings present;Commercial buildings present;Mixed-use buildings present,Not applicable,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present,Wide entrances present,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;Monochrome elements present;Water features present,Modern buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Weekend,Trash bins present;Play areas present,Cafés present,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0BuaeI5aIvAA3LQ0YIItv,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Intersecting paths present,Benches present;Picnic tables present,Not applicable,Not applicable,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Wide entrances present,Clear sight lines,No accessibility features,No barriers,Bright colours present;Pink flowers present,Not applicable,Central gathering point present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime;Seasonal variations,Benches present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0b384ExLkK99gJDX3RaXP,Park;Courtyard,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present,No seating,Modern buildings present;Residential buildings present;Mixed-use buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present;Sports activities present,Wide entrances present,Clear sight lines,No accessibility features,No barriers,Bright colours present;Wood elements present,Contemporary buildings present,Edge gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime;Weekday,No public amenities,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0bG9080DtEBTCZNGfGNUL,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present,Benches present;Chairs present;Custom seats present,Historic buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Crowded (>50 people),Commercial activities present;Social activities present;Transportation activities present,Wide entrances present,Clear sight lines,No accessibility features,No barriers,Bright colours present;Dark colours present,Traditional buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Traffic noise present,Daytime;Weekend,Trash bins present,Street vendors present;Shops present;Cafés present,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0bYEQwLcvwlGZinBUT8ns,Park;Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present;Linear paths present,Benches present,Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Panoramic views present,No accessibility features,No barriers,Bright colours present,Contemporary buildings present,Edge gathering points present,Not applicable,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Benches present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
1258724164547347,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present,No seating,Residential buildings present,Directional signs present,Empty,Transportation activities present,No accessibility features,Clear sight lines,Safety signs present,No barriers,No decorative elements,Contemporary buildings present,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Quiet,Daytime,Not applicable,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Comfortable,
1260331691303817,Street,Open,Not applicable,Natural lighting; Artificial lighting,Well maintained,Trees present; Grass present,Paved paths present; Linear paths present,No seating,Modern buildings present; Residential buildings present,Informational signs present,Empty,Transportation activities present,No accessibility features,Clear sight lines,Safety lighting,Physical barriers present (fences,walls),No decorative elements,Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet,Daytime,Not applicable,No commercial activities,Pedestrian paths present; Parking spaces present,Not applicable,Not applicable,Safe and secure
1260686667705883,Park,Organic,Large (>2000 m²),Natural lighting;Shaded areas,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present,No seating,Not applicable,No signage,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,Wide entrances present,Clear sight lines,Not applicable,Natural barriers present (rivers,hills),No decorative elements,Not applicable,No gathering points,Varied age groups present,No design features,Sunny,Warm (20–30 °C),Not applicable,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Comfortable
1261209044336635,Street,Semi-enclosed,Not applicable,Natural lighting;Artificial lighting,Well maintained,Trees present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,Wide entrances present,Clear sight lines,Fences present,Physical barriers present (fences walls),Bright colours present,Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Not applicable,Not applicable,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Culturally significant features present,Not applicable,Accessible,
1262642404279890,Park;Street,Open,Large (>2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Little greenery;Grass present,Paved paths present;Wide paths present;Curved paths present,No seating,Residential buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines,No safety features,No barriers,No decorative elements,Not applicable,No gathering points,Not applicable,No design features,Cloudy,Cool (10–20 °C),Quiet;Moderate;Natural sounds present,Daytime;Weekday,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Comfortable,
1262738530786619,Street,Semi-enclosed,Not applicable,Natural lighting,Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present,No seating,Modern buildings present;Mixed-use buildings present,Informational signs present,Sparsely populated (<20 people),Transportation activities present,Wide entrances present,Clear sight lines,Not applicable,No barriers,No decorative elements,Contemporary buildings present,No gathering points,Gender diversity present,No design features,Cloudy,Not applicable,Not applicable,Daytime,Trash bins present,Shops present,Pedestrian paths present;Parking spaces present;Bicycle lanes present,Not applicable,Not applicable,Accessible,
1263557854320359,Park,Open,Medium (500–2000 m²),Natural lighting,Well maintained,Trees present;Grass present,Paved paths present;Linear paths present,Benches present;Picnic tables present,Residential buildings present,Informational signs present,Empty,Not applicable,Not applicable,Clear sight lines,Not applicable,No barriers,No decorative elements,Vernacular buildings present,Informal gathering points present,Not applicable,Wheelchair-accessible features present,Cloudy,Cool (10–20 °C),Not applicable,Daytime,Not applicable,No commercial activities,Parking spaces present,Not applicable,Not applicable,Comfortable,
1270030190061430,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present,Paved paths present;Wide paths present,No seating,Modern buildings present;Residential buildings present,No signage,Empty,Transportation activities present,Not applicable,Clear sight lines,Fences present,Natural barriers present (rivers,hills),Bright colours present,Contemporary buildings present,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Moderate,Daytime,Not applicable,No commercial activities,Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Safe and secure
1272540470813157,Street,Open,Not applicable,Natural lighting,Well maintained,Trees present;Bushes present,Paved paths present;Linear paths present,No seating,Modern buildings present;Residential buildings present,No signage,Empty,Transportation activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,No decorative elements,Contemporary buildings present,No gathering points,Not applicable,No design features,Cloudy,Not applicable,Not applicable,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Accessible,
