Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present,Paved paths present;Wide paths present,Benches present,Modern buildings present,No signage,Crowded (>50 people),Recreational activities present;Social activities present,No accessibility features,Clear sight lines,Safety lighting,No barriers,Murals present;Street art present,Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present,No commercial activities,Public transport access present;Pedestrian paths present,Historic monuments present;Public art installations present,Recycling bins present;Green building features present,Inviting,
0A1mOmg3oYqmqJkydBgr8,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Flower beds present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present;Chairs present;Movable seats present,Modern buildings present;Commercial buildings present,Informational signs present;Directional signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Panoramic views present,Safety signs present,No barriers,Bright colours present;Street art present,Traditional buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Traffic noise present;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present,Street vendors present;Shops present;Cafés present,Public transport access present;Pedestrian paths present;Parking spaces present,Public art installations present,Recycling bins present,Inviting,
0AHwqvu5S4S3RjFBHysY1,Park,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Linear paths present,No seating,Not applicable,Informational signs present,Sparsely populated (<20 people),Transportation activities present,No accessibility features,Clear sight lines,Safety lighting;Fences present,No barriers,Sculptures present,Not applicable,No gathering points,Not applicable,No design features,Sunny,Not applicable,Quiet;Traffic noise present,Daytime,Water fountains present,Shops present,Public transport access present;Pedestrian paths present,No cultural elements present,Use of renewable energy present (e.g.,solar panels);Water conservation measures present,Inviting
0AwVBMzM8nLeDeTenNNKP,Park,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Flower beds present,Paved paths present;Wide paths present;Curved paths present,Benches present;Chairs present,Modern buildings present;Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present,Ramps present;Handrails present,Clear sight lines,Safety lighting;Fences present,No barriers,Bright colours present;Murals present;Street art present,Traditional buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present;Play areas present,Shops present;Cafés present,Pedestrian paths present,Historic monuments present;Public art installations present,Recycling bins present;Green building features present,Inviting,
0Ax3wD4SdmOSNBLel3aHB,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Artificial lighting;Well lit,Clean,Trees present;Bushes present,Paved paths present;Linear paths present,Benches present,Residential buildings present;Commercial buildings present,Informational signs present;Directional signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present,Ramps present;Handrails present,Clear sight lines,Safety lighting;Fences present,No barriers,Bright colours present;Murals present;Sculptures present,Traditional buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Trash bins present,Shops present;Cafés present,Pedestrian paths present,Historic monuments present;Public art installations present,Recycling bins present;Green building features present,Inviting,
0B6TXLerVX3I4MCiM7Fum,Public plaza,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present,Paved paths present;Wide paths present,Benches present;Custom seats present,Historic buildings present;Commercial buildings present,Informational signs present;Directional signs present,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Handrails present,Clear sight lines,Surveillance cameras present;Safety lighting,No barriers,Bright colours present;Murals present;Sculptures present,Traditional buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present,Shops present;Cafés present,Public transport access present;Pedestrian paths present,Historic monuments present;Monuments present;Public art installations present,Recycling bins present;Green building features present,Inviting,
0BOEQ5iCbtgfYZqdSCGco,Park,Courtyard,Square,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present;Chairs present;Custom seats present,Modern buildings present;Residential buildings present;Mixed-use buildings present,Decorative signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,Safety lighting;No accessibility features,No barriers,Bright colours present;Murals present;Sculptures present;Street art present,Traditional buildings present;Contemporary buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Restrooms present;Water fountains present;Information kiosks present;Play areas present,No commercial activities,Public transport access present;Bicycle lanes present;Pedestrian paths present;Parking spaces present,Not applicable,Recycling bins present;Green building features present,Inviting;Accessible;Comfortable;Inclusive;Safe and secure,
0BdnYirX0ab36Z2PNW4gx,Park,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present,Benches present;Chairs present,Modern buildings present;Commercial buildings present,Informational signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present,Ramps present;Handrails present,Clear sight lines,Safety lighting;Fences present,No barriers,Bright colours present;Murals present;Street art present,Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present,Shops present;Cafés present,Public transport access present;Pedestrian paths present,Historic monuments present;Public art installations present,Recycling bins present;Green building features present,Inviting,
0BuaeI5aIvAA3LQ0YIItv,Park,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present,Benches present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present;Murals present;Street art present,No gathering points,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present,No commercial activities,Pedestrian paths present,No gathering points,Not applicable,Inviting,,,
0b384ExLkK99gJDX3RaXP,Park,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present,Benches present,Modern buildings present;Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present,Ramps present;Handrails present,Clear sight lines,Safety lighting;Fences present,No barriers,Bright colours present;Water features present,Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Restrooms present;Trash bins present,Shops present;Cafés present,Pedestrian paths present,Historic monuments present;Public art installations present,Recycling bins present;Green building features present,Inviting,
