Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park,Semi-enclosed,Large,Natural lighting;Well lit,Clean,Trees present;Too much greenery;Grass present,Unpaved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present;Custom seats present,No signage,Crowded (>50 people),Leisure activities present;Cultural activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present,Not applicable,No barriers,Not applicable,Not applicable,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Sunny,Warm (>20–30 °C),Moderate;Natural sounds present,Daytime,Not applicable,Not applicable,Not applicable,Not applicable,Inviting,,,,
0A1mOmg3oYqmqJkydBgr8,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present;No seating,Residential buildings present;Commercial buildings present,No signage,Moderately populated (20–50 people),Leisure activities present;Social activities present,Wheelchair-accessible features present,Clear sight lines;Hidden corners present,Not applicable,No barriers,Bright colours present;Dark colours present;Street art present,Traditional buildings present;Contemporary buildings present,Egde gathering points present,Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present;Play areas present,Street vendors present;Shops present;Cafés present,Pedestrian paths present,Historically significant features present,Not applicable,Inviting;Accessible;Comfortable;Inclusive;Safe and secure;Diverse,
0AHwqvu5S4S3RjFBHysY1,Park,Trees present;Grass present,Natural lighting;Well lit,Clean;Well maintained,Paved paths present;Wide paths present;Linear paths present,Sculptures present,Empty,Recreational activities present;Leisure activities present,No accessibility features,Clear sight lines;Panoramic views present,No barriers,Bright colours present;Sculptures present,Contemporary buildings present,No gathering points,Not applicable,Not applicable,Daytime;Weekday,Not applicable,Not applicable,Public transport access present;Pedestrian paths present;Parking spaces present,Public art installations present,Not applicable,Inviting,,,,,,,,,
0AwVBMzM8nLeDeTenNNKP,Park;Playground,,,,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present;Picnic tables present,,,,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Sports activities present,,,,Clear sight lines,,,,No barriers,Bright colours present;Water features present;Sculptures present,,,,Central gathering point present;Informal gathering points present,Varied age groups present;Gender diversity present,,,",Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime;Weekend,Play areas present;Trash bins present,,,,Pedestrian paths present,,,,,Inviting"
0Ax3wD4SdmOSNBLel3aHB,Street,Semi-enclosed,Small (<500 m²),Natural lighting;Well lit,Clean,Trees present;Little greenery,Paved paths present;Wide paths present,Benches present;Custom seats present,Historic buildings present;Commercial buildings present,Informational signs present;Decorative signs present,Moderately populated (20–50 people),Leisure activities present;Commercial activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present,Safety lighting;Fences present,No barriers,Bright colours present;Sculptures present;Street art present,Traditional buildings present;Contemporary buildings present,Central gathering point present,Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Moderate,Natural sounds present,Daytime,Restrooms present;Trash bins present;Play areas present,Street vendors present;Shops present;Cafés present,Pedestrian paths present;Parking spaces present,Culturally significant features present;Public art installations present,Not applicable,Inviting
0B6TXLerVX3I4MCiM7Fum,Public plaza,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Little greenery,Paved paths present;Curved paths present;Intersecting paths present,Custom seats present;Movable seats present,Modern buildings present;Commercial buildings present,Crowded (>50 people),Recreational activities present;Leisure activities present;Cultural activities present,Safety lighting;Fences present,Physical barriers present (fences,walls),Sculptures present;Street art present,Contemporary buildings present,Central gathering point present,Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present,Street vendors present;Shops present;Cafés present,Pedestrian paths present,Culturally significant features present;Public art installations present,Not applicable,Inviting,,,
0BOEQ5iCbtgfYZqdSCGco,Public plaza,Open,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Little greenery;Grass present;Paved paths present;Curved paths present;Intersecting paths present,Benches present;Custom seats present,Modern buildings present;Residential buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Hidden corners present,No barriers,Dark colours present;Sculptures present;No decorative elements,Contemporary buildings present,Central gathering point present;Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,No public amenities,No commercial activities,Pedestrian paths present,No cultural elements,Green building features present,Inviting,,,
0BdnYirX0ab36Z2PNW4gx,Park,,,,Open,Large,Natural lighting;Well lit,Clean,Trees present;Grass present;Paved paths present;Wide paths present;Linear paths present,Benches present;Picnic tables present,Modern buildings present;Commercial buildings present,Crowded (>50 people),Leisure activities present;Social activities present,No accessibility features,Clear sight lines,No safety measures,No barriers,Bright colours present;Water features present,Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Weekend,Trash bins present;Picnic tables present;Benches present,Street vendors present;Shops present,Cafés present,Public transport access present;Pedestrian paths present,Culturally significant features present;Public art installations present,Not applicable,Inviting
0BuaeI5aIvAA3LQ0YIItv,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Grass present;Paved paths present;Benches present;No commercial activities;No design features;Not applicable,Moderately populated (20–50 people),Leisure activities present;Social activities present;Not applicable,Paved paths present;Benches present;Not applicable,Clear sight lines;Not applicable,No barriers,Bright colours present;Not applicable,Not applicable,Central gathering point present;Not applicable,Varied age groups present;Not applicable,Not applicable,Cloudy,Warm (20–30 °C),Quiet;Natural sounds present,Daytime;Weekend,Benches present;Not applicable,Not applicable,Pedestrian paths present;Not applicable,Trees present;Not applicable,Not applicable,Inviting,,,,,,
0b384ExLkK99gJDX3RaXP,Public plaza,Square,Garden,Park,Open,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Paved paths present;Wide paths present;Linear paths present,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Residential buildings present,No signage,Moderately populated (20–50 people),Leisure activities present;Sports activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Surveillance cameras present;Safety lighting;Fences present,Physical barriers present (fences,walls),Dark colours present;Water features present,Contemporary buildings present;Eclectic buildings present,Central gathering point present;Informal gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny;Cloudy,Warm (20–30 °C),Quiet;Natural sounds present,Daytime;Weekend,Trash bins present;Fitness equipment present,"Shops present;Cafés present,Pedestrian paths present;Parking spaces present,Public art installations present,Recycling bins present;Green building features present,Inviting;Accessible;Comfortable;Inclusive;Safe and secure"
