Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;No vegetation,Paved paths present;Wide paths present,No seating,Not applicable,Informational signs present,Crowded (>50 people),Recreational activities present;Leisure activities present;Cultural activities present,Not applicable,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Quiet,Natural sounds present,Daytime,Not applicable,Not applicable,Not applicable,Not applicable,Inviting,
0A1mOmg3oYqmqJkydBgr8,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Commercial buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present,No decorative elements,Contemporary buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,Shops present;Cafés present,Public transport access present;Pedestrian paths present;Parking spaces present,No cultural elements,Not applicable,Inviting,,,
0AHwqvu5S4S3RjFBHysY1,Park,Open,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present,Modern buildings present,Informational signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present,Safety lighting,No barriers,Sculptures present,Contemporary buildings present,Informal gathering points present,Varied age groups present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Public transport access present;Bicycle lanes present;Pedestrian paths present,Public art installations present,Not applicable,Inviting,
0AwVBMzM8nLeDeTenNNKP,Park,Open,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Clean,Trees present;Grass present;Little greenery,Paved paths present;Wide paths present;Curved paths present,Benches present,Not applicable,Informational signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Social activities present,Not applicable,Clear sight lines,Not applicable,No barriers,Bright colours present;Murals present,Not applicable,Informal gathering points present,Varied age groups present;Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Play areas present,Not applicable,Not applicable,Not applicable,Not applicable,Inviting,
0Ax3wD4SdmOSNBLel3aHB,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Artificial lighting;Well lit,Well maintained,Trees present;Grass present;No vegetation,Paved paths present;Wide paths present;Linear paths present,No seating,Modern buildings present;Commercial buildings present,Directional signs present,Moderately populated (20–50 people),Leisure activities present;Commercial activities present,No accessibility features,Clear sight lines;Hidden corners present,Not applicable,No barriers,Bright colours present;Sculptures present,Contemporary buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present,Shops present;Cafés present,Public transport access present;Pedestrian paths present,Public art installations present,Not applicable,Inviting,
0B6TXLerVX3I4MCiM7Fum,Public plaza,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present;Curved paths present,Benches present;Custom seats present,Modern buildings present;Commercial buildings present,Informational signs present;Directional signs present,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present,Safety lighting;Safety signs present,No barriers,Bright colours present;Murals present,Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present,Shops present;Cafés present,Pedestrian paths present,Public art installations present,Not applicable,Inviting,
0BOEQ5iCbtgfYZqdSCGco,Image001,Courtyard;Public plaza,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Little greenery;Grass present;No vegetation,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present;Picnic tables present,Modern buildings present;Mixed-use buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Panoramic views present,No safety measures,No barriers,Bright colours present;Monochrome elements present,Contemporary buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Play areas present,No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Not applicable,Comfortable
0BdnYirX0ab36Z2PNW4gx,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present;Picnic tables present,Modern buildings present;Commercial buildings present,Informational signs present;Directional signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;Murals present,Contemporary buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present;Play areas present,Street vendors present;Markets present;Shops present;Cafés present,Public transport access present;Bicycle lanes present;Pedestrian paths present,Public art installations present,Recycling bins present,Inviting,
0BuaeI5aIvAA3LQ0YIItv,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Little greenery;Grass present;No vegetation,Paved paths present;Wide paths present;Linear paths present,Benches present,Not applicable,Informational signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,Not applicable,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Informal gathering points present,Varied age groups present;Ethnic diversity present,Not applicable,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,Not applicable,Pedestrian paths present,Not applicable,Not applicable,Comfortable,
0b384ExLkK99gJDX3RaXP,Image001,Public plaza;Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present;Intersecting paths present,Benches present,Modern buildings present;Mixed-use buildings present,Informational signs present;Directional signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;Murals present;Street art present,Contemporary buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Restrooms present;Water fountains present;Trash bins present;Play areas present,Not applicable,Pedestrian paths present,Public art installations present,Not applicable,Inviting,
