Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Clean;Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Curved paths present,Benches present;No seating,Not applicable,Informational signs present;No signage,Crowded (>50 people),Recreational activities present;Leisure activities present;Cultural activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Weekend,Trash bins present;Play areas present,No commercial activities,Pedestrian paths present,Public art installations present,Recycling bins present,Inviting,
0A1mOmg3oYqmqJkydBgr8,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present;No seating,Historic buildings present;Residential buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present;Transportation activities present,Ramps present;Handrails present;Wide entrances present,Clear sight lines;Panoramic views present,Surveillance cameras present;Safety lighting;Fences present,No barriers,Bright colours present;Street art present;No decorative elements,Traditional buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present;Multilingual signs present,Sunny,Warm (20–30 °C),Moderate;Traffic noise present;Natural sounds present,Daytime;Weekday,Trash bins present;Play areas present,Shops present;Cafés present,Public transport access present;Bicycle lanes present;Pedestrian paths present;Parking spaces present,Historic monuments present;Public art installations present,Recycling bins present,Inviting,
0AHwqvu5S4S3RjFBHysY1,Street,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Not applicable,No signage,Empty,Leisure activities present,No accessibility features,Clear sight lines,Not applicable,No decorative elements;Not applicable,Contemporary buildings present,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Quiet;Traffic noise present,Daytime,Trash bins present;Not applicable,No commercial activities,Public transport access present;Pedestrian paths present,Not applicable,Not applicable,Inviting,,
0AwVBMzM8nLeDeTenNNKP,Playground,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present,Benches present;No seating,Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines,Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;No decorative elements,Not applicable,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present;Play areas present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting
0Ax3wD4SdmOSNBLel3aHB,Street,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present,Benches present;No seating,Historic buildings present;Commercial buildings present,Informational signs present;No signage,Sparsely populated (<20 people),Leisure activities present;Commercial activities present;Social activities present,Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present;Sculptures present;No decorative elements,Traditional buildings present,Edge gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Cool (10–20 °C),Moderate;Natural sounds present,Daytime,Trash bins present;Not applicable,Shops present;Cafés present,Bicycle lanes present;Pedestrian paths present,Public art installations present,Recycling bins present,Inviting,
0B6TXLerVX3I4MCiM7Fum,Public plaza,Open,Large (>2000 m²),Natural lighting;Well lit,Clean,Trees present;Little greenery,Paved paths present;Wide paths present;Curved paths present,Benches present,Modern buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;No signage,Crowded (>50 people),Leisure activities present;Cultural activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Surveillance cameras present;Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;Street art present;No decorative elements,Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Weekend,Trash bins present;Play areas present;Not applicable,Street vendors present;Cafés present,Public transport access present;Pedestrian paths present,Monuments present;Public art installations present,Recycling bins present,Inviting
0BOEQ5iCbtgfYZqdSCGco,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present,Benches present,Modern buildings present;Residential buildings present;Mixed-use buildings present,Informational signs present;Decorative signs present,Sparsely populated (<20 people),Recreational activities present;Leisure activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present;Sculptures present,Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Recycling bins present,Inviting,
0BdnYirX0ab36Z2PNW4gx,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present;Picnic tables present,Modern buildings present;Residential buildings present;Commercial buildings present,Informational signs present;No signage,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,Bright colours present;Water features present,Contemporary buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Weekend,Trash bins present;Play areas present;Fitness equipment present,Street vendors present;Cafés present;Shops present,Public transport access present;Bicycle lanes present;Pedestrian paths present,Public art installations present,Recycling bins present,Inviting,,
0BuaeI5aIvAA3LQ0YIItv,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present,Benches present;No seating,Not applicable,No signage,Sparsely populated (<20 people),Leisure activities present;Recreational activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines,Not applicable,No barriers,Bright colours present;No decorative elements,Not applicable,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Trash bins present;Play areas present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0b384ExLkK99gJDX3RaXP,Park,Open,Medium (500–2000 m²),Natural lighting;Well lit,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Benches present,Modern buildings present;Residential buildings present;Commercial buildings present,Informational signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Panoramic views present,Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;Water features present,Contemporary buildings present,Central gathering point present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Weekday,Trash bins present,Cafés present;No commercial activities,Public transport access present;Bicycle lanes present;Pedestrian paths present,Public art installations present,Recycling bins present,Inviting
0bG9080DtEBTCZNGfGNUL,Street,Open,Medium,Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Little greenery;No vegetation,Paved paths present;Wide paths present;Linear paths present,Benches present;Chairs present;Custom seats present,Historic buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;Decorative signs present;Directional signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Commercial activities present;Social activities present,Ramps present;Wide entrances present;No accessibility features,Clear sight lines,Fences present;Not applicable,No barriers,Bright colours present;No decorative elements,Traditional buildings present,Central gathering point present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Traffic noise present;Natural sounds present,Daytime;Weekend,Trash bins present,Shops present;Cafés present,Public transport access present;Bicycle lanes present;Pedestrian paths present,Public art installations present,Recycling bins present,Inviting,
