Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present,Not applicable,Custom seats present,Not applicable,No signage,Crowded (>50 people),Leisure activities present;Cultural activities present;Social activities present,Not applicable,Clear sight lines,Not applicable,Natural barriers present (rivers,hills),Water features present,Not applicable,Central gathering point present,Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Loud;Natural sounds present,Daytime,Not applicable,No commercial activities,Not applicable,Not applicable,Not applicable,Inviting
0A1mOmg3oYqmqJkydBgr8,Street,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Flower beds present;Bushes present,Paved paths present;Wide paths present;Linear paths present,Benches present,Historic buildings present;Residential buildings present;Commercial buildings present;Mixed-use buildings present,Informational signs present;Decorative signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Transportation activities present;Social activities present,No accessibility features,Clear sight lines,Fences present,Physical barriers present (fences,walls),Bright colours present,Traditional buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Traffic noise present,Daytime,Not applicable,Shops present;Cafés present,Bicycle lanes present;Pedestrian paths present;Parking spaces present,Not applicable,Not applicable,Inviting
0AHwqvu5S4S3RjFBHysY1,Park,Open,Large (>2000 m²),Natural lighting;Shaded areas;Well lit,Well maintained,Trees present;Grass present,Paved paths present;Wide paths;Linear paths,Custom seats present,Not applicable,No signage,Empty,Transportation activities present,Not applicable,Clear sight lines,Not applicable,No barriers,Bright colours present;Sculptures present,Not applicable,No gathering points,Not applicable,No design features,Sunny,Warm (20–30 °C),Traffic noise present;Natural sounds present,Daytime,Not applicable,No commercial activities,Public transport access present;Pedestrian paths present;Parking spaces present,Public art installations present,Not applicable,Inviting,
0AwVBMzM8nLeDeTenNNKP,Park;Playground,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Benches present,Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Panoramic views present,Not applicable,No barriers,Bright colours present,Traditional buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Play areas present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0Ax3wD4SdmOSNBLel3aHB,Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Clean;Well maintained,Trees present;Bushes present,Paved paths present;Wide paths present;Linear paths present,Benches present;Chairs present;Movable seats present,Historic buildings present;Residential buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Sparsely populated (<20 people),Leisure activities present;Commercial activities present;Transportation activities present;Social activities present,No accessibility features,Clear sight lines,Walls present,Physical barriers present (fences,walls),Bright colours present;Sculptures present;Street art present,Traditional buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Cool (10–20 °C),Moderate,Daytime,Not applicable,Shops present;Cafés present,Pedestrian paths present,Public art installations present,Green building features present,Inviting
0B6TXLerVX3I4MCiM7Fum,Square;Public plaza,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present,Paved paths present,Benches present;Custom seats present,Commercial buildings present;Mixed-use buildings present,No signage,Crowded (>50 people),Leisure activities present;Cultural activities present;Social activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,No decorative elements,Traditional buildings present,Central gathering point present,Not applicable,No design features,Sunny,Warm (20–30 °C),Loud,Daytime,Not applicable,Shops present;Cafés present,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0BOEQ5iCbtgfYZqdSCGco,Courtyard;Garden;Public plaza,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present;Curved paths present;Intersecting paths present,Benches present;Custom seats present,Modern buildings present;Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Not applicable,Clear sight lines;Obstructed views present,Not applicable,No barriers,No decorative elements,Contemporary buildings present,Informal gathering points present,Ethnic diversity present;Gender diversity present,Not applicable,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0BdnYirX0ab36Z2PNW4gx,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Linear paths present,Benches present;Picnic tables present,Modern buildings present;Commercial buildings present;Residential buildings present,No signage,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present;Transportation activities present,No accessibility features,Clear sight lines,Safety lighting,No barriers,Bright colours present,Contemporary buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Not applicable,Not applicable,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0BuaeI5aIvAA3LQ0YIItv,Park,Open,Large (>2000 m²),Natural lighting;Well lit,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present;Intersecting paths present,Benches present,Not applicable,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines,Not applicable,No barriers,Bright colours present,Not applicable,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Cloudy,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0b384ExLkK99gJDX3RaXP,Garden;Public plaza,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present,Custom seats present,Modern buildings present;Residential buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Transportation activities present;Social activities present,Wide entrances present,Clear sight lines;Panoramic views present,Not applicable,No barriers,No decorative elements,Contemporary buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,No design features,Sunny,Warm (20–30 °C),Quiet;Natural sounds present,Daytime,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
