Image_ID,Space Typology,Spatial Configuration,Size (visual estimate),Lighting,Maintenance,Vegetation,Paths,Seating,Built Environment,Signage,Human Presence,Types of Activities,Accessibility Features,Visibility,Safety Measures,Barriers,Aesthetic Elements,Architectural Style,Gathering Points,Demographic Diversity,Design,Weather Conditions,Temperature Range,Noise Levels,Temporal Aspects,Public Amenities,Economic Activities,Transport Connectivity,Cultural Elements,Sustainability,Overall Impression,Comments
00CmmcvUso2G1GUzb3YVE,Park;Waterfront,Semi-enclosed,Large (>2000 m²),Natural lighting;Artificial lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present,Custom seats present,Not applicable,No signage,Crowded (>50 people),Leisure activities present;Cultural activities present;Social activities present,Not applicable,Clear sight lines;Obstructed views present,Not applicable,Natural barriers present (rivers,hills),Bright colours present;Dark colours present;Water features present,Not applicable,Central gathering point present,Varied age groups present,Not applicable,Sunny,Warm (20–30 °C),Loud;Natural sounds present,Daytime,Not applicable,Commercial activities present,Pedestrian paths present,Culturally significant features present,Not applicable,
0A1mOmg3oYqmqJkydBgr8,Street,Semi-enclosed,Large (>2000 m²),Natural lighting;Artificial lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Flower beds present;Bushes present,Paved paths present;Wide paths present;Linear paths present,Benches present,Historic buildings present;Commercial buildings present;Mixed-use buildings present;Residential buildings present,Informational signs present;Decorative signs present,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Commercial activities present;Transportation activities present;Social activities present,Not applicable,Clear sight lines;Hidden corners present,Safety lighting;Fences present,Physical barriers present (fences,walls),Bright colours present;Dark colours present,Traditional buildings present,Informal gathering points present,Varied age groups present;Ethnic diversity present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Traffic noise present;Natural sounds present,Daytime,Trash bins present,Shops present;Cafés present,Pedestrian paths present;Parking spaces present,Culturally significant features present,Not applicable,
0AHwqvu5S4S3RjFBHysY1,Park;Street,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present,Paved paths present;Wide paths present;Linear paths present;Curved paths present;Intersecting paths present,Custom seats present,Not applicable,No signage,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Transportation activities present,No accessibility features,Clear sight lines;Obstructed views present;Hidden corners present,Not applicable,No barriers,Bright colours present;Sculptures present,Not applicable,Informal gathering points present,Not applicable,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Traffic noise present;Natural sounds present,Daytime,Not applicable,No commercial activities,Public transport access present;Pedestrian paths present;Parking spaces present,Public art installations present,Not applicable,Inviting,
0AwVBMzM8nLeDeTenNNKP,Park;Playground,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Clean;Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present;Curved paths present;Intersecting paths present,Benches present;Picnic tables present;Custom seats present,Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Obstructed views present,Not applicable,No barriers,Bright colours present;Dark colours present,Not applicable,Informal gathering points present,Varied age groups present,Wheelchair-accessible features present;Adapted play equipment present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Play areas present;Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting;Accessible;Comfortable;Inclusive;Safe and secure,
0Ax3wD4SdmOSNBLel3aHB,Street;Public plaza,Semi-enclosed,Medium (500–2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Bushes present,Paved paths present;Wide paths present;Linear paths present,Chairs present;Custom seats present,Historic buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Sparsely populated (<20 people),Recreational activities present;Leisure activities present;Commercial activities present;Transportation activities present;Social activities present;Cultural activities present,No accessibility features,Clear sight lines;Obstructed views present,Safety lighting;Walls present,Physical barriers present (fences,walls),Bright colours present;Street art present;Sculptures present,Traditional buildings present,Edge gathering points present;Informal gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Not applicable,Shops present;Cafés present,Pedestrian paths present,Public art installations present;Culturally significant features present,Not applicable,
0B6TXLerVX3I4MCiM7Fum,Public plaza,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Little greenery,Paved paths present;Wide paths present,Custom seats present,Modern buildings present;Historic buildings present;Commercial buildings present;Mixed-use buildings present,No signage,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present;Cultural activities present,No accessibility features,Clear sight lines;Obstructed views present,Walls present,No barriers,Dark colours present;Monochrome elements present;No decorative elements,Traditional buildings present;Contemporary buildings present,Central gathering point present,Varied age groups present,No design features,Sunny,Warm (20–30 °C),Loud,Daytime,Trash bins present,Shops present;Cafés present,Public transport access present;Pedestrian paths present,Culturally significant features present,Not applicable,Inviting;Comfortable;Inclusive,
0BOEQ5iCbtgfYZqdSCGco,Park;Public plaza,Organic,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Clean;Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Curved paths present;Intersecting paths present,Custom seats present,Modern buildings present;Residential buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present,Ramps present;Wide entrances present,Clear sight lines;Obstructed views present;Hidden corners present,Walls present,Physical barriers present (fences,walls),Monochrome elements present,Contemporary buildings present,Informal gathering points present,Varied age groups present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present;Play areas present,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,
0BdnYirX0ab36Z2PNW4gx,Image001,Park;Public plaza,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present;Curved paths present;Intersecting paths present,Benches present;Picnic tables present,Modern buildings present;Commercial buildings present,No signage,Crowded (>50 people),Recreational activities present;Leisure activities present;Commercial activities present;Social activities present,Wide entrances present,Clear sight lines;Obstructed views present,Safety lighting,No barriers,Bright colours present,Contemporary buildings present,Informal gathering points present,Varied age groups present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Loud;Natural sounds present,Daytime,Trash bins present,Street vendors present,Pedestrian paths present,Not applicable,Recycling bins present,
0BuaeI5aIvAA3LQ0YIItv,Park,Open,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present,Paved paths present;Wide paths present;Linear paths present;Intersecting paths present,Benches present,Not applicable,No signage,Crowded (>50 people),Recreational activities present;Leisure activities present;Social activities present,No accessibility features,Clear sight lines;Obstructed views present;Panoramic views present,Not applicable,Natural barriers present,Bright colours present,Not applicable,Informal gathering points present,Varied age groups present,Wheelchair-accessible features present,Cloudy,Warm (20–30 °C),Moderate;Natural sounds present,Daytime;Seasonal variations,Not applicable,No commercial activities,Pedestrian paths present,Not applicable,Not applicable,Inviting,
0b384ExLkK99gJDX3RaXP,Park;Public plaza;Garden,Semi-enclosed,Large (>2000 m²),Natural lighting;Well lit;Shaded areas,Well maintained,Trees present;Grass present;Bushes present;Flower beds present,Paved paths present;Wide paths present;Linear paths present;Intersecting paths present,Custom seats present,Modern buildings present;Residential buildings present;Mixed-use buildings present,No signage,Moderately populated (20–50 people),Recreational activities present;Leisure activities present;Social activities present;Sports activities present,Wide entrances present,Clear sight lines;Obstructed views present,Walls present,Physical barriers present (fences,walls),No decorative elements,Contemporary buildings present,Informal gathering points present,Varied age groups present;Gender diversity present,Wheelchair-accessible features present,Sunny,Warm (20–30 °C),Moderate;Natural sounds present,Daytime,Trash bins present,No commercial activities,Pedestrian paths present,Not applicable,Recycling bins present,Inviting
